keyword,topic,category
배당성향,<<KEYWORD>>,Stock
배당소득세(dividend income tax)  (dividend income tax),<<KEYWORD>>,Stock
배서금지배서,<<KEYWORD>>,Stock
백기사(white knight) (white knight),<<KEYWORD>>,Stock
백업 퍼실리티(back-up facility) (back-up facility),<<KEYWORD>>,Stock
백워데이션(backwardation) (backwardation),<<KEYWORD>>,Stock
백지어음,<<KEYWORD>>,Stock
밸런스 펀드(balance fund) (balance fund),<<KEYWORD>>,Stock
번한지표,<<KEYWORD>>,Stock
벌처펀드,<<KEYWORD>>,Stock
법인세,<<KEYWORD>>,Stock
법인세 서면분석,<<KEYWORD>>,Stock
법정관리,<<KEYWORD>>,Stock
법정지불준비제도,<<KEYWORD>>,Stock
법정지상권,<<KEYWORD>>,Stock
베어 마켓(bear market) (bear market),<<KEYWORD>>,Stock
베이시스,<<KEYWORD>>,Stock
베이시스 스왑(basis swap) (basis swap),<<KEYWORD>>,Stock
베타 계수(beta coefficient) (beta coefficient),<<KEYWORD>>,Stock
벤처펀드,<<KEYWORD>>,Stock
벤쳐 캐피털(venture capital) (venture capital),<<KEYWORD>>,Stock
벤치 마킹(bench marking) (bench marking),<<KEYWORD>>,Stock
변동금리부 채권(FRN; floating rate note) (FRN; floating rate note),<<KEYWORD>>,Stock
변동증거금(variation margin) (variation margin),<<KEYWORD>>,Stock
변동환율제도(floating exchange rate system) (floating exchange rate system),<<KEYWORD>>,Stock
별단예금(special deposit) (special deposit),<<KEYWORD>>,Stock
병합상장(consolidated listing) (consolidated listing),<<KEYWORD>>,Stock
보상예금(compensating balance) (compensating balance),<<KEYWORD>>,Stock
보유비용,<<KEYWORD>>,Stock
보장 수익률,<<KEYWORD>>,Stock
보증 사채,<<KEYWORD>>,Stock
보통 거래,<<KEYWORD>>,Stock
보통사채(straight bond)  (straight bond),<<KEYWORD>>,Stock
보통주,<<KEYWORD>>,Stock
보통채(straight bond) (straight bond ),<<KEYWORD>>,Stock
보합(maintenance) (maintenance),<<KEYWORD>>,Stock
보호예수,<<KEYWORD>>,Stock
복리(compounding) (compounding),<<KEYWORD>>,Stock
복리계수(compound interest factor) (compound interest factor),<<KEYWORD>>,Stock
복리이자 산정기간(compounding period) (compounding period),<<KEYWORD>>,Stock
복리후생비,<<KEYWORD>>,Stock
복수통화 바스켓(multicurrency basket system) (multicurrency basket system),<<KEYWORD>>,Stock
본원통화(reserve money) (reserve money),<<KEYWORD>>,Stock
본위화폐(standard money) (standard money),<<KEYWORD>>,Stock
본지점회계(account for branch operations) (account for branch operations),<<KEYWORD>>,Stock
볼공정거래(unfair transaction) (unfair transaction),<<KEYWORD>>,Stock
봉 차트 분석(bar chart analysis) (bar chart analysis),<<KEYWORD>>,Stock
부당권유행위금지,<<KEYWORD>>,Stock
부당행위금지,<<KEYWORD>>,Stock
부동산개발신탁,<<KEYWORD>>,Stock
부동산담보신탁,<<KEYWORD>>,Stock
부동산신탁,<<KEYWORD>>,Stock
부동산투자전문회사,<<KEYWORD>>,Stock
부동주,<<KEYWORD>>,Stock
부외거래(off-balance transaction) (off-balance transaction),<<KEYWORD>>,Stock
부적정의견(adverse opinion) (adverse opinion),<<KEYWORD>>,Stock
부채(debt) (debt),<<KEYWORD>>,Stock
부채비율,<<KEYWORD>>,Stock
분산투자(diversified investment) (diversified investment),<<KEYWORD>>,Stock
분식결산(window-dressing settlement) (window-dressing settlement),<<KEYWORD>>,Stock
분할증권(stripped securities) (stripped securities),<<KEYWORD>>,Stock
"불 마켓(bull market, bullish market) (bull market, bullish market)",<<KEYWORD>>,Stock
불균형성장론,<<KEYWORD>>,Stock
브로드 마켓(broad market) (broad market),<<KEYWORD>>,Stock
브로커,<<KEYWORD>>,Stock
브로커스 론(brokers loan) (brokers loan),<<KEYWORD>>,Stock
브리지 론(bridge loan) (bridge loan),<<KEYWORD>>,Stock
브리지 채권교체(bridge bond swap) (bridge bond swap),<<KEYWORD>>,Stock
브리지 파이낸싱(bridge financing) (bridge financing),<<KEYWORD>>,Stock
브리지론(bridge loan)  (bridge loan ),<<KEYWORD>>,Stock
블독 본드(bulldog bond) (bulldog bond),<<KEYWORD>>,Stock
블럭오버,<<KEYWORD>>,Stock
블루칩(blue chip) (blue chip),<<KEYWORD>>,Stock
비공모주식,<<KEYWORD>>,Stock
비교대차대조표(comparative balance sheet) (comparative balance sheet),<<KEYWORD>>,Stock
비교손익계산서(comparative profit and loss statement) (comparative profit and loss statement),<<KEYWORD>>,Stock
비드 레이트(bid rate) (bid rate),<<KEYWORD>>,Stock
비상장대법인,<<KEYWORD>>,Stock
비용(expenses) (expenses),<<KEYWORD>>,Stock
비체계적 위험(unsystematic or residal risk) (unsystematic or residal risk),<<KEYWORD>>,Stock
비트 더 마켓(beat the market) (beat the market),<<KEYWORD>>,Stock
사고 증권(irregular securities) (irregular securities),<<KEYWORD>>,Stock
사모사채(private placement bond) (private placement bond),<<KEYWORD>>,Stock
사업 보고서,<<KEYWORD>>,Stock
사외이사제,<<KEYWORD>>,Stock
사이드카 (side car) (side car),<<KEYWORD>>,Stock
사채,<<KEYWORD>>,Stock
사채발행(bond issue),<<KEYWORD>>,Stock
사케다 전술,<<KEYWORD>>,Stock
삼봉형(head and shoulder model) (head and shoulder model),<<KEYWORD>>,Stock
삼선 전환법,<<KEYWORD>>,Stock
상대 매매,<<KEYWORD>>,Stock
상업어음 할인,<<KEYWORD>>,Stock
상업차관(commercial loan) (commercial loan),<<KEYWORD>>,Stock
상임대리인 업무,<<KEYWORD>>,Stock
상장,<<KEYWORD>>,Stock
상장 폐지,<<KEYWORD>>,Stock
상장 회사,<<KEYWORD>>,Stock
상장부(stock list) (stock list),<<KEYWORD>>,Stock
상장옵션(listed option) (listed option),<<KEYWORD>>,Stock
상장요건(listing requirement) (listing requirement),<<KEYWORD>>,Stock
상장주,<<KEYWORD>>,Stock
상장형 투자신탁,<<KEYWORD>>,Stock
상품 선물거래(commodity future trading) (commodity future trading),<<KEYWORD>>,Stock
상호지급보증,<<KEYWORD>>,Stock
상환,<<KEYWORD>>,Stock
상환 주식,<<KEYWORD>>,Stock
생명보험회사(life insurance company) (life insurance company),<<KEYWORD>>,Stock
생보 모집인,<<KEYWORD>>,Stock
서머 랠리(summer rally) (summer rally),<<KEYWORD>>,Stock
서브파트 거래(sub part transaction) (sub part transaction),<<KEYWORD>>,Stock
선관주의임무,<<KEYWORD>>,Stock
선도거래(forward transaction) (forward transaction),<<KEYWORD>>,Stock
선도주,<<KEYWORD>>,Stock
선물 거래소,<<KEYWORD>>,Stock
선물/옵션 기본예탁금,<<KEYWORD>>,Stock
선물거래,<<KEYWORD>>,Stock
선물금리계약(FRA; forward rate agreement) (FRA; forward rate agreement),<<KEYWORD>>,Stock
"선물환 매입, 매도 스왑",<<KEYWORD>>,Stock
선물환 스왑거래(forward swap transaction) (forward swap transaction),<<KEYWORD>>,Stock
선하증권(B/L; bill of landing) (B/L; bill of landing),<<KEYWORD>>,Stock
설립등기(establishment foundation) (establishment foundation),<<KEYWORD>>,Stock
성장성 분석(trend analysis) (trend analysis),<<KEYWORD>>,Stock
성장주,<<KEYWORD>>,Stock
세무조정,<<KEYWORD>>,Stock
세무회계(tax accounting) (tax accounting),<<KEYWORD>>,Stock
소급과세금지원칙,<<KEYWORD>>,Stock
소나차트(sonar chart) (sonar chart),<<KEYWORD>>,Stock
소득공제,<<KEYWORD>>,Stock
소비자신용분석,<<KEYWORD>>,Stock
소수주주권(minority shareholder right) (minority shareholder right),<<KEYWORD>>,Stock
소액 주주,<<KEYWORD>>,Stock
소액채권 저축,<<KEYWORD>>,Stock
손비(expense) (expense),<<KEYWORD>>,Stock
손익계산서,<<KEYWORD>>,Stock
손익계산서 추정,<<KEYWORD>>,Stock
"손절매(loss cut, stop loss) (loss cut, stop loss)",<<KEYWORD>>,Stock
손해배상대위,<<KEYWORD>>,Stock
손해보험회사(property and casualty insurance company) (property and casualty insurance company),<<KEYWORD>>,Stock
쇼트 포지션(short position) (short position),<<KEYWORD>>,Stock
수권 자본제도,<<KEYWORD>>,Stock
수권자본금(authorized capital) (authorized capital),<<KEYWORD>>,Stock
수급분석(supply-demand analysis) (supply-demand analysis),<<KEYWORD>>,Stock
수도,<<KEYWORD>>,Stock
수량 우선의 법칙,<<KEYWORD>>,Stock
수시공시,<<KEYWORD>>,Stock
수익 증권,<<KEYWORD>>,Stock
수익 증권 저축제도,<<KEYWORD>>,Stock
수익률,<<KEYWORD>>,Stock
수익률 주(yield stock) (yield stock),<<KEYWORD>>,Stock
수익률곡선(yield curve) (yield curve),<<KEYWORD>>,Stock
수익률스프레드(yield spread) (yield spread),<<KEYWORD>>,Stock
수익률지수(yield index) (yield index),<<KEYWORD>>,Stock
수익채권(revenue bond) (revenue bond),<<KEYWORD>>,Stock
수익환원법 (yield capitalization method) (yield capitalization method),<<KEYWORD>>,Stock
수입배당금,<<KEYWORD>>,Stock
수정주가평균(adjusted stock price average) (adjusted stock price average),<<KEYWORD>>,Stock
수직강세스프레드  (bullish vertical spread) (bullish vertical spread),<<KEYWORD>>,Stock
수출입 물가지수(export and import price index) (export and import price index),<<KEYWORD>>,Stock
수탁 회사,<<KEYWORD>>,Stock
수탁자,<<KEYWORD>>,Stock
순수이자율,<<KEYWORD>>,Stock
순수익률 취득교체(pure yield pick-up swap) (pure yield pick-up swap),<<KEYWORD>>,Stock
순환 매수,<<KEYWORD>>,Stock
스왑 거래(swap transaction) (swap transaction),<<KEYWORD>>,Stock
스왑 마진(swap margin) (swap margin),<<KEYWORD>>,Stock
스왑 조작 거래,<<KEYWORD>>,Stock
스왑 코스트(swap cost) (swap cost),<<KEYWORD>>,Stock
스왑션(swaption) (swaption),<<KEYWORD>>,Stock
스왑하우스(swap house) (swap house),<<KEYWORD>>,Stock
스캘퍼(scalper) (scalper),<<KEYWORD>>,Stock
스켈퍼,<<KEYWORD>>,Stock
스톡옵션,<<KEYWORD>>,Stock
스트립 금융(strip financing) (strip financing),<<KEYWORD>>,Stock
스트립 발행(strip issue) (strip issue),<<KEYWORD>>,Stock
스트립(strip) (strip),<<KEYWORD>>,Stock
스파트 펀드,<<KEYWORD>>,Stock
스프레드 거래(spread trading) (spread trading),<<KEYWORD>>,Stock
시가 발행,<<KEYWORD>>,Stock
시가 총액,<<KEYWORD>>,Stock
시간 우선의 원칙,<<KEYWORD>>,Stock
시계열 변동분석(time series analysis) (time series analysis),<<KEYWORD>>,Stock
시세조종행위(manipulation) (manipulation),<<KEYWORD>>,Stock
시장 리스크(market risk) (market risk),<<KEYWORD>>,Stock
시장 분석(market analysis) (market analysis),<<KEYWORD>>,Stock
시장가 주문 (Market Order) (Market Order),<<KEYWORD>>,Stock
시장규제,<<KEYWORD>>,Stock
시장조성,<<KEYWORD>>,Stock
시장조치,<<KEYWORD>>,Stock
시장평균환율제,<<KEYWORD>>,Stock
신구주 합병,<<KEYWORD>>,Stock
신규위탁증거금,<<KEYWORD>>,Stock
신디케이트 스왑(syndicated swap) (syndicated swap),<<KEYWORD>>,Stock
신용 거래,<<KEYWORD>>,Stock
신용 리스크,<<KEYWORD>>,Stock
신용공여업무,<<KEYWORD>>,Stock
신용증권(credit instrument) (credit instrument),<<KEYWORD>>,Stock
신용창조(creation of bank deposit) (creation of bank deposit),<<KEYWORD>>,Stock
신용창출(credit creation) (credit creation),<<KEYWORD>>,Stock
신용할당(credit rationing) (credit rationing),<<KEYWORD>>,Stock
신주 인수권,<<KEYWORD>>,Stock
신주인수권부사채,<<KEYWORD>>,Stock
신클라이언트 (Thin Client ),<<KEYWORD>>,Stock
신탁계약,<<KEYWORD>>,Stock
신탁계약의 해지,<<KEYWORD>>,Stock
신탁계정,<<KEYWORD>>,Stock
신탁대금대출,<<KEYWORD>>,Stock
신탁약관,<<KEYWORD>>,Stock
신탁재산,<<KEYWORD>>,Stock
실권주,<<KEYWORD>>,Stock
실물 거래,<<KEYWORD>>,Stock
실질주주,<<KEYWORD>>,Stock
실효금리,<<KEYWORD>>,Stock
아메리칸 증권거래소(AMEX; American stock exchange) (AMEX; American stock exchange),<<KEYWORD>>,Stock
악재(unfavorable factor) (unfavorable factor),<<KEYWORD>>,Stock
안전자산(riskless asset) (riskless asset),<<KEYWORD>>,Stock
안전채권,<<KEYWORD>>,Stock
액면,<<KEYWORD>>,Stock
액면 발행,<<KEYWORD>>,Stock
액면 변경,<<KEYWORD>>,Stock
액면 전환,<<KEYWORD>>,Stock
액면분할,<<KEYWORD>>,Stock
액면주,<<KEYWORD>>,Stock
약세 시장,<<KEYWORD>>,Stock
약정,<<KEYWORD>>,Stock
양건예금,<<KEYWORD>>,Stock
양도성예금증서(CD; negotiable certificate of deposit) (CD; negotiable certificate of deposit),<<KEYWORD>>,Stock
양도소득세,<<KEYWORD>>,Stock
어음담보대출,<<KEYWORD>>,Stock
어음부도율,<<KEYWORD>>,Stock
어음할인(discount) (discount),<<KEYWORD>>,Stock
업적시세,<<KEYWORD>>,Stock
엔젤투자,<<KEYWORD>>,Stock
엔화표시외채 (yen-denominated foreign bond) (yen-denominated foreign bond),<<KEYWORD>>,Stock
엘리어트 파동 이론,<<KEYWORD>>,Stock
여신관리제도,<<KEYWORD>>,Stock
역금융장세,<<KEYWORD>>,Stock
역분식결산,<<KEYWORD>>,Stock
역시계곡선,<<KEYWORD>>,Stock
역실적장세,<<KEYWORD>>,Stock
역외금융(off-shore financing) (off-shore financing),<<KEYWORD>>,Stock
역외시장(off-shore market) (off-shore market),<<KEYWORD>>,Stock
역외예금(off-shore deposit) (off-shore deposit ),<<KEYWORD>>,Stock
역외펀드(off-shore fund) (off-shore fund),<<KEYWORD>>,Stock
역조시장,<<KEYWORD>>,Stock
역환(adverse exchange) (adverse exchange),<<KEYWORD>>,Stock
연개 매매,<<KEYWORD>>,Stock
연결재무제표(consolidated financial sheets) (consolidated financial sheets),<<KEYWORD>>,Stock
연계보증,<<KEYWORD>>,Stock
연금기금(pension fund) (pension fund),<<KEYWORD>>,Stock
연대채무,<<KEYWORD>>,Stock
연말장세,<<KEYWORD>>,Stock
연방예금보험공사(FDIC; federal deposit insurance corporation) (FDIC; federal deposit insurance corporation),<<KEYWORD>>,Stock
연방준비제도(federal reserve system) (federal reserve system),<<KEYWORD>>,Stock
연속복리(continuous compounding) (continuous compounding),<<KEYWORD>>,Stock
연체대출,<<KEYWORD>>,Stock
영국 FT-SE 100주가지수(FT-SE 100 stock price index)    (FT-SE 100 stock price index),<<KEYWORD>>,Stock
영업 레버리지(operating leverage) (operating leverage),<<KEYWORD>>,Stock
영업 보고서,<<KEYWORD>>,Stock
영업권,<<KEYWORD>>,Stock
영업이익률,<<KEYWORD>>,Stock
예금보험제도(deposit insurance) (deposit insurance),<<KEYWORD>>,Stock
예납조치(deposit in advance) (deposit in advance),<<KEYWORD>>,Stock
예대금리차(interest margin) (interest margin),<<KEYWORD>>,Stock
예대마진,<<KEYWORD>>,Stock
예대상계,<<KEYWORD>>,Stock
예대율(loans-to-deposit) (loans-to-deposit),<<KEYWORD>>,Stock
예상 배당 수익률,<<KEYWORD>>,Stock
옐로칩 (Yellow chip) (Yellow chip),<<KEYWORD>>,Stock
오버나이트 론(overnight loan) (overnight loan),<<KEYWORD>>,Stock
오퍼 레이트(offer rate) (offer rate),<<KEYWORD>>,Stock
오픈 포지션(open position) (open position),<<KEYWORD>>,Stock
옵션 거래,<<KEYWORD>>,Stock
옵션 프리미엄(option premium) (option premium),<<KEYWORD>>,Stock
옵션가격,<<KEYWORD>>,Stock
옵션부 사채,<<KEYWORD>>,Stock
옵션패러티,<<KEYWORD>>,Stock
외가격,<<KEYWORD>>,Stock
외국인 전용 수익증권,<<KEYWORD>>,Stock
외국환 평형기금(exchange equalization fund) (exchange equalization fund),<<KEYWORD>>,Stock
외국환평형기금채,<<KEYWORD>>,Stock
외부금융(external finance) (external finance),<<KEYWORD>>,Stock
외수펀드,<<KEYWORD>>,Stock
외재가치,<<KEYWORD>>,Stock
외화가득률(rate of foreign exchange earning) (rate of foreign exchange earning),<<KEYWORD>>,Stock
외화대출,<<KEYWORD>>,Stock
외화보유액(foreign exchange holding) (foreign exchange holding),<<KEYWORD>>,Stock
외화예금,<<KEYWORD>>,Stock
외환관리(foreign exchange control) (foreign exchange control),<<KEYWORD>>,Stock
우량기업대출금리(prime rate) (prime rate),<<KEYWORD>>,Stock
우량주,<<KEYWORD>>,Stock
우리사주조합,<<KEYWORD>>,Stock
우발채무(contingent liabilities) (contingent liabilities),<<KEYWORD>>,Stock
우발채무적립금(reserve for contingencies) (reserve for contingencies),<<KEYWORD>>,Stock
우선 배당률,<<KEYWORD>>,Stock
우선주,<<KEYWORD>>,Stock
운용보수,<<KEYWORD>>,Stock
운용자산,<<KEYWORD>>,Stock
워런트(warrant) (warrant),<<KEYWORD>>,Stock
워크아웃(workout) (workout),<<KEYWORD>>,Stock
"원가주의(cost valuation basis, cost method) (cost valuation basis, cost method)",<<KEYWORD>>,Stock
원본보전과 이익보족,<<KEYWORD>>,Stock
위임장 투쟁(proxy fight) (proxy fight),<<KEYWORD>>,Stock
위탁 수수료,<<KEYWORD>>,Stock
위탁 증거금,<<KEYWORD>>,Stock
위탁 회사,<<KEYWORD>>,Stock
위탁매매,<<KEYWORD>>,Stock
위탁매매 우선의 법칙,<<KEYWORD>>,Stock
위탁모집,<<KEYWORD>>,Stock
위험관리,<<KEYWORD>>,Stock
위험자산(risky asset) (risky asset),<<KEYWORD>>,Stock
위험조정할인율(risk adjusted discount rate) (risk adjusted discount rate),<<KEYWORD>>,Stock
윌 가,<<KEYWORD>>,Stock
유가증권,<<KEYWORD>>,Stock
유가증권 신고서,<<KEYWORD>>,Stock
유가증권 투자손실준비금,<<KEYWORD>>,Stock
유니트형 투신,<<KEYWORD>>,Stock
유동부채(current liabilities) (current liabilities),<<KEYWORD>>,Stock
유동성 딜레마(liquidity dilemma) (liquidity dilemma),<<KEYWORD>>,Stock
유동성 배열법(current arrangement) (current arrangement),<<KEYWORD>>,Stock
유동성 선호(liquidity preference) (liquidity preference),<<KEYWORD>>,Stock
유동성 위험(liquidity risk) (liquidity risk),<<KEYWORD>>,Stock
유동성 장세,<<KEYWORD>>,Stock
유동성함정(liquidity trap)  (liquidity trap ),<<KEYWORD>>,Stock
유동자산(liquid assets) (liquid assets),<<KEYWORD>>,Stock
유배주,<<KEYWORD>>,Stock
유보율(reserve ratio) ((reserve ratio)),<<KEYWORD>>,Stock
유상증자,<<KEYWORD>>,Stock
유상증자(capital increase with consideration) (capital increase with consideration),<<KEYWORD>>,Stock
유지위탁증거금,<<KEYWORD>>,Stock
유지증거금(maintenance or additional margin) (maintenance or additional margin),<<KEYWORD>>,Stock
유통시장,<<KEYWORD>>,Stock
유한고정자산(tangible fixed assets) (tangible fixed assets),<<KEYWORD>>,Stock
유한회사(private company) (private company),<<KEYWORD>>,Stock
융자담보주권(collateral securities) (collateral securities),<<KEYWORD>>,Stock
융통어음,<<KEYWORD>>,Stock
은행신탁계정,<<KEYWORD>>,Stock
응모자수익률(yield to subscriber) (yield to subscriber),<<KEYWORD>>,Stock
의견거절(disclaimer of opinion) (disclaimer of opinion),<<KEYWORD>>,Stock
의결권,<<KEYWORD>>,Stock
의제배당,<<KEYWORD>>,Stock
의제자본,<<KEYWORD>>,Stock
이격도,<<KEYWORD>>,Stock
이동 평균선,<<KEYWORD>>,Stock
이동평균법(moving average method) (moving average method),<<KEYWORD>>,Stock
이론주가,<<KEYWORD>>,Stock
이븐 파 스왑(even par swap) (even par swap),<<KEYWORD>>,Stock
이익배당(dividend) (dividend),<<KEYWORD>>,Stock
이익배당청구권(claim for dividend) (claim for dividend),<<KEYWORD>>,Stock
이익사채(IB; income bond) (IB; income bond),<<KEYWORD>>,Stock
이익잉여금 처분,<<KEYWORD>>,Stock
이익참가부사채(PB:participating bond) (PB; participating bond),<<KEYWORD>>,Stock
이자거치 열위채(zero to full coupon subordinated debt) (zero to full coupon subordinated debt),<<KEYWORD>>,Stock
이자율 위험(interest rate risk) (interest rate risk),<<KEYWORD>>,Stock
인덱스 펀드(index fund) (index fund),<<KEYWORD>>,Stock
인수단,<<KEYWORD>>,Stock
인수모집,<<KEYWORD>>,Stock
인수주선업무(underwriting) (underwriting),<<KEYWORD>>,Stock
인터뱅크 시장(inter-bank market) (inter-bank market),<<KEYWORD>>,Stock
일부해지,<<KEYWORD>>,Stock
일월효과(january effect) (january effect),<<KEYWORD>>,Stock
일일정산  (daily marking to market) (daily marking to market),<<KEYWORD>>,Stock
일임매매 거래의 제한,<<KEYWORD>>,Stock
임의규정,<<KEYWORD>>,Stock
임팩트 론(impact loan) (impact loan),<<KEYWORD>>,Stock
입회,<<KEYWORD>>,Stock
잉여금(surplus) (surplus),<<KEYWORD>>,Stock
자금순환표,<<KEYWORD>>,Stock
자금운용표(application of funds statement) (application of funds statement),<<KEYWORD>>,Stock
자기 매매,<<KEYWORD>>,Stock
자기 신용,<<KEYWORD>>,Stock
자기자본,<<KEYWORD>>,Stock
자기자본 비율,<<KEYWORD>>,Stock
자기자본회전율(turnover of net worth) (turnover of net worth),<<KEYWORD>>,Stock
자동이체식증권(pass-through security) (pass-through security),<<KEYWORD>>,Stock
자본(capital stock) (capital stock),<<KEYWORD>>,Stock
자본구조(capital structure) (capital structure),<<KEYWORD>>,Stock
자본금이익률(profit ratio of paid-in capital) (profit ratio of paid-in capital),<<KEYWORD>>,Stock
자본손실(capital loss) (capital loss),<<KEYWORD>>,Stock
자본수지,<<KEYWORD>>,Stock
자본시장선(capital market line) (capital market line),<<KEYWORD>>,Stock
자본시장육성법(Law on Fostering the Capital Market) (Law on Fostering the Capital Market),<<KEYWORD>>,Stock
자본자산가격결정모형(CAPM; capital asset pricing model) (CAPM; capital asset pricing model),<<KEYWORD>>,Stock
자본준비금(capital reserve) (capital reserve),<<KEYWORD>>,Stock
자본증권,<<KEYWORD>>,Stock
자본코스트(capital reserve) (capital reserve),<<KEYWORD>>,Stock
자사주,<<KEYWORD>>,Stock
자사주 펀드,<<KEYWORD>>,Stock
자산 3분법,<<KEYWORD>>,Stock
자산가치(asset value) (asset value),<<KEYWORD>>,Stock
자산결제(asset settlement) (asset settlement),<<KEYWORD>>,Stock
자산손실률과 채권손실률,<<KEYWORD>>,Stock
자산시장접근법(asset approach to exchange rate) (asset approach to exchange rate),<<KEYWORD>>,Stock
자산운용(invested asset) (invested asset),<<KEYWORD>>,Stock
자산재평가(asset revaluation) (asset revaluation),<<KEYWORD>>,Stock
자산재평가적립금(revaluation surplus reserve) (revaluation surplus reserve),<<KEYWORD>>,Stock
자산주,<<KEYWORD>>,Stock
자원관련주,<<KEYWORD>>,Stock
자율 조정,<<KEYWORD>>,Stock
자익권,<<KEYWORD>>,Stock
자전거래(cross trading) (cross trading),<<KEYWORD>>,Stock
잔여 재산 분배 청구권,<<KEYWORD>>,Stock
잔존원본,<<KEYWORD>>,Stock
잠재 GNP(potential GNP) (potential GNP),<<KEYWORD>>,Stock
장외 파생금융상품,<<KEYWORD>>,Stock
장외시장(OTC; over-the-counter market) (OTC; over-the-counter market),<<KEYWORD>>,Stock
장외전자거래시장 (ECN (Electronic Communi-cation Network)),<<KEYWORD>>,Stock
재고순환(inventory cycle) (inventory cycle),<<KEYWORD>>,Stock
재고자산(inventories) (inventories),<<KEYWORD>>,Stock
재고자산회전율(inventory turnover ration) (nventory turnover ration),<<KEYWORD>>,Stock
재공품회전율(goods in process turnover ratio) (goods in process turnover ratio),<<KEYWORD>>,Stock
재귀성이론(refexity theory) (refexity theory),<<KEYWORD>>,Stock
재무관리(financial management) (financial management),<<KEYWORD>>,Stock
재무구조개선적립금 (reserve for finance structure improvement) (reserve for finance structure improvement),<<KEYWORD>>,Stock
재무레버리지(financial leverage) (financial leverage),<<KEYWORD>>,Stock
재무비율(financial ratio) (financial ratio),<<KEYWORD>>,Stock
재무성증권(treasury bond) (treasury bond),<<KEYWORD>>,Stock
재무위험(financial risk) (financial risk),<<KEYWORD>>,Stock
재무제표(financial statement) (financial statement),<<KEYWORD>>,Stock
재보험(reinsurance) (reinsurance),<<KEYWORD>>,Stock
재정거래(arbitrage) (arbitrage),<<KEYWORD>>,Stock
재정증권,<<KEYWORD>>,Stock
재정투융자(public investment and loan) (public investment and loan),<<KEYWORD>>,Stock
재정평가 모델(APM; arbitrage pricing model) (APM; arbitrage pricing model),<<KEYWORD>>,Stock
재취회원,<<KEYWORD>>,Stock
재테크,<<KEYWORD>>,Stock
재할인금리(rediscount rate) (rediscount rate),<<KEYWORD>>,Stock
재할인율,<<KEYWORD>>,Stock
재할인정책(rediscount policy) (rediscount policy),<<KEYWORD>>,Stock
쟁의조정위원회(disputes mediating committee) (disputes mediating committee),<<KEYWORD>>,Stock
저축기관(thrift institutions) (thrift institutions),<<KEYWORD>>,Stock
저항선,<<KEYWORD>>,Stock
적격어음(eligible paper) (eligible paper),<<KEYWORD>>,Stock
적립금(reserve) (reserve),<<KEYWORD>>,Stock
적정의견,<<KEYWORD>>,Stock
"적정의견(qualified opinion, or clean opinion) (qualified opinion, or clean opinion)",<<KEYWORD>>,Stock
전대차관,<<KEYWORD>>,Stock
전매,<<KEYWORD>>,Stock
전매,<<KEYWORD>>,Stock
전사적자원관리 (ERP (enterprise resources planning )),<<KEYWORD>>,Stock
전일 재사용 금액,<<KEYWORD>>,Stock
전환 가격,<<KEYWORD>>,Stock
전환 청구 기간,<<KEYWORD>>,Stock
전환사채(CB; conversion bond) (CB; conversion bond),<<KEYWORD>>,Stock
점두 거래,<<KEYWORD>>,Stock
점유개정,<<KEYWORD>>,Stock
접속 매매,<<KEYWORD>>,Stock
정관(memorandum of association) (memorandum of association),<<KEYWORD>>,Stock
정산(netting) (netting),<<KEYWORD>>,Stock
정상시장,<<KEYWORD>>,Stock
정크 본드(junk bond) (junk bond),<<KEYWORD>>,Stock
제 1차 금속,<<KEYWORD>>,Stock
제 3 시장,<<KEYWORD>>,Stock
제3자 유상증자,<<KEYWORD>>,Stock
제권판결(judgement of nullification) (judgement of nullification),<<KEYWORD>>,Stock
제로 쿠폰 본드(zero coupon bond) (zero coupon bond),<<KEYWORD>>,Stock
제로베타 포트폴리오(Zero-beta portfolio) (Zero-beta portfolio),<<KEYWORD>>,Stock
제로쿠폰채 (zero coupon bond) (zero coupon bond),<<KEYWORD>>,Stock
제이컵 효과(J-cup effect) (J-cup effect),<<KEYWORD>>,Stock
제척기간,<<KEYWORD>>,Stock
제한적 해석의 원칙,<<KEYWORD>>,Stock
조건부 융자제도,<<KEYWORD>>,Stock
조건부 채권(RP; repurchase agreement) (RP; repurchase agreement),<<KEYWORD>>,Stock
조세부담률,<<KEYWORD>>,Stock
조정현재가치(adjusted present value) (adjusted present value),<<KEYWORD>>,Stock
조합채권,<<KEYWORD>>,Stock
조회공시,<<KEYWORD>>,Stock
종가,<<KEYWORD>>,Stock
종합 과세,<<KEYWORD>>,Stock
종합 주가지수,<<KEYWORD>>,Stock
종합 포지션(overall position) (overall position),<<KEYWORD>>,Stock
종합금융회사(merchant bank) (merchant bank),<<KEYWORD>>,Stock
종합수지,<<KEYWORD>>,Stock
종합토지세,<<KEYWORD>>,Stock
좌,<<KEYWORD>>,Stock
주가,<<KEYWORD>>,Stock
주가 수익률,<<KEYWORD>>,Stock
주가 이동 평균 선,<<KEYWORD>>,Stock
주가 조작,<<KEYWORD>>,Stock
주가순자산율,<<KEYWORD>>,Stock
주가조작(manipulation) (manipulation),<<KEYWORD>>,Stock
주가지수,<<KEYWORD>>,Stock
주가지수 선물시장,<<KEYWORD>>,Stock
주가지수 워런트(stock index warrant) (stock index warrant),<<KEYWORD>>,Stock
주가평균법,<<KEYWORD>>,Stock
